iteration, fitness, path
80, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
81, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
82, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
83, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
84, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
85, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
86, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
87, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
88, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
89, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
90, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
91, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
92, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
93, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
94, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
95, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
96, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
97, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
98, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
99, 2947.0, "0;1;24;7;10;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
